date,url,user,title,hasicorp
2023-07-14T06:53:01Z,https://github.com/hashicorp/terraform/issues/33523,richardj-bsquare,Impenetrable Constraints - More detail required from terraform contraint errors,N
2023-07-13T15:15:50Z,https://github.com/hashicorp/terraform/issues/33521,matschundbrei,check the type of input to a `for_each` on `validate` instead of failing at `plan`,N
2023-07-13T13:40:09Z,https://github.com/hashicorp/terraform/issues/33519,h3adache,Optional Type Constraint fails after apply.,N
2023-07-13T12:01:25Z,https://github.com/hashicorp/terraform/issues/33518,carlo98100,azurerm_cosmosdb_account => cors_rule => max_age_in_seconds,N
2023-07-12T19:51:06Z,https://github.com/hashicorp/terraform/issues/33516,jeffrey-aguilera,Terraform is not usable for multi-region infrastructure as code,N
2023-07-12T14:48:48Z,https://github.com/hashicorp/terraform/issues/33515,trifith,Code block for performing --replace operations,N
2023-07-12T10:53:08Z,https://github.com/hashicorp/terraform/issues/33513,dcarrion87,Error with provisioning deployment,N
2023-07-12T06:01:16Z,https://github.com/hashicorp/terraform/issues/33512,mounikabikki,"The environment variable TF_VAR_app_logs does not contain a valid value for │ variable ""app_logs"": element ""app_retention_days"": object required.",N
2023-07-12T05:54:56Z,https://github.com/hashicorp/terraform/issues/33511,mounikabikki," Error: Incorrect variable type │  │   on vars.tf line 253: │  253: variable ""app_logs"" { │  │ The resolved value of variable ""app_logs"" is not appropriate: element │ ""app_retention_days"": object required.",N
2023-07-11T23:05:26Z,https://github.com/hashicorp/terraform/issues/33510,Nuru,Automatically move module when count is introduced,N
2023-07-11T22:31:09Z,https://github.com/hashicorp/terraform/issues/33509,Nuru,Local modules not updated on change,N
2023-07-11T13:26:39Z,https://github.com/hashicorp/terraform/issues/33508,kun-lu20,Add s390x support to Terraform CLI,N
2023-07-11T13:00:11Z,https://github.com/hashicorp/terraform/issues/33507,scott-doyland-burrows,aws_route53_record records getting destroyed but should not be,N
2023-07-11T10:39:25Z,https://github.com/hashicorp/terraform/issues/33505,kmoe,"Import block with id of """" causes plan to error",Y
2023-07-11T02:23:47Z,https://github.com/hashicorp/terraform/issues/33502,robwdux,aws_inspector2_enabler support enabling LAMBDACODE as a valid resource type,N
2023-07-10T14:35:11Z,https://github.com/hashicorp/terraform/issues/33498,reyesj2,PCI passthrough: error reconfiguring VM,N
2023-07-10T13:37:51Z,https://github.com/hashicorp/terraform/issues/33497,BrianTuduri,Problem with caching of vendor plugins in Terraform 1.4.0 and later versions,N
2023-07-10T11:41:09Z,https://github.com/hashicorp/terraform/issues/33496,NiklasRosenstein,"Warn or fail on encountering values in `for_each` that _may_ only be known until apply, but are _currently_ known at plan time",N
2023-07-10T10:20:25Z,https://github.com/hashicorp/terraform/issues/33495,vydrazde,Terraform registry module examples get misidentified as submodules,N
2023-07-10T03:44:34Z,https://github.com/hashicorp/terraform/issues/33494,ravalikodam,"The connectivity problems encountered after rebuilding Perian and On Prem can be attributed to limitations arising from the VPC ID. These limitations are a consequence of managing infrastructure in other accounts, which are being handled separately. Additionally, there is a strong interdependence between the resources of the domain team and the accounts they manage using Terraform. This issue is rooted in legacy systems and practices.other accounts using Terraform. This constraint is a legacy problem.",N
